Measure,Date,Value
Arabian Sea,03-19-1995,12.24
Atlantic Ocean,03-19-1995,-22.41
Bay Bengal,03-19-1995,-43.33
Bering Sea,03-19-1995,-11.75
Gulf Mexico,03-19-1995,-59.55
Indian Ocean,03-19-1995,-6.33
Indonesian,03-19-1995,-1.59
Mediterranean,03-19-1995,-125.38
Nino,03-19-1995,-16.83
North Atlantic,03-19-1995,-60.43
North Pacific,03-19-1995,-70.21
North Sea,03-19-1995,-24.69
Pacific Ocean,03-19-1995,-2.58
Persian Gulf,03-19-1995,-19.27
Sea Japan,03-19-1995,-78.25
Sea Okhotsk,03-19-1995,-22.39
South China,03-19-1995,-45.6
Southern Ocean,03-19-1995,22.67
Tropics,03-19-1995,-11.94
World,03-19-1995,-11.15
Adriatic Sea,03-20-1995,-107.91
Caribbean Sea,03-20-1995,-56.88
Yellow Sea,03-20-1995,-107.51
Baltic Sea,03-28-1995,109.45
Andaman Sea,03-29-1995,-94.64
Arabian Sea,03-29-1995,41.24
Atlantic Ocean,03-29-1995,-26.91
Bering Sea,03-29-1995,-18.35
Gulf Mexico,03-29-1995,-53.65
Indian Ocean,03-29-1995,2.57
Indonesian,03-29-1995,1.71
Mediterranean,03-29-1995,-128.18
Nino,03-29-1995,-22.23
North Atlantic,03-29-1995,-53.93
North Pacific,03-29-1995,-56.21
North Sea,03-29-1995,76.21
Pacific Ocean,03-29-1995,-15.18
Persian Gulf,03-29-1995,-110.27
Sea Japan,03-29-1995,-84.65
Sea Okhotsk,03-29-1995,-37.79
South China,03-29-1995,-60.4
Southern Ocean,03-29-1995,5.97
Tropics,03-29-1995,-16.74
World,03-29-1995,-16.55
Yellow Sea,03-29-1995,-116.61
Adriatic Sea,03-30-1995,-151.01
Bay Bengal,03-30-1995,-19.23
Caribbean Sea,03-30-1995,-46.08
Baltic Sea,04-07-1995,286.25
Andaman Sea,04-08-1995,-83.84
Arabian Sea,04-08-1995,40.74
Atlantic Ocean,04-08-1995,-15.31
Bay Bengal,04-08-1995,3.37
Bering Sea,04-08-1995,-15.75
Caribbean Sea,04-08-1995,-23.18
Gulf Mexico,04-08-1995,-29.15
Indian Ocean,04-08-1995,8.47
Indonesian,04-08-1995,12.21
Mediterranean,04-08-1995,-115.68
Nino,04-08-1995,-15.63
North Atlantic,04-08-1995,-46.23
North Pacific,04-08-1995,-52.51
North Sea,04-08-1995,7.41
Pacific Ocean,04-08-1995,-13.98
Persian Gulf,04-08-1995,-87.47
Sea Japan,04-08-1995,-96.55
Sea Okhotsk,04-08-1995,-16.09
South China,04-08-1995,-51.5
Southern Ocean,04-08-1995,5.57
Tropics,04-08-1995,-7.74
World,04-08-1995,-11.05
Adriatic Sea,04-09-1995,-142.51
Yellow Sea,04-09-1995,-102.51
Baltic Sea,04-17-1995,196.15
North Sea,04-17-1995,-104.19
Persian Gulf,04-17-1995,-19.77
Andaman Sea,04-18-1995,16.16
Arabian Sea,04-18-1995,73.04
Atlantic Ocean,04-18-1995,-9.71
Bay Bengal,04-18-1995,4.77
Bering Sea,04-18-1995,-11.75
Caribbean Sea,04-18-1995,-29.38
Gulf Mexico,04-18-1995,-40.15
Indian Ocean,04-18-1995,2.97
Indonesian,04-18-1995,-1.19
Mediterranean,04-18-1995,-74.68
Nino,04-18-1995,-12.83
North Atlantic,04-18-1995,-41.43
North Pacific,04-18-1995,-35.71
Pacific Ocean,04-18-1995,-12.18
Sea Japan,04-18-1995,-35.45
Sea Okhotsk,04-18-1995,-5.19
South China,04-18-1995,-68.6
Southern Ocean,04-18-1995,7.87
Tropics,04-18-1995,-7.94
World,04-18-1995,-8.95
Yellow Sea,04-18-1995,-52.01
Adriatic Sea,04-19-1995,-63.01
Andaman Sea,04-27-1995,-3.44
Baltic Sea,04-27-1995,42.65
Mediterranean,04-27-1995,-68.08
North Sea,04-27-1995,-136.89
Persian Gulf,04-27-1995,26.13
Sea Okhotsk,04-27-1995,-13.69
Arabian Sea,04-28-1995,78.14
Atlantic Ocean,04-28-1995,-23.51
Bay Bengal,04-28-1995,35.77
Bering Sea,04-28-1995,4.35
Caribbean Sea,04-28-1995,-37.58
Gulf Mexico,04-28-1995,-64.95
Indian Ocean,04-28-1995,6.67
Indonesian,04-28-1995,-14.39
Nino,04-28-1995,-16.73
North Atlantic,04-28-1995,-48.83
North Pacific,04-28-1995,-36.91
Pacific Ocean,04-28-1995,-15.28
Sea Japan,04-28-1995,-49.65
South China,04-28-1995,-31.8
Southern Ocean,04-28-1995,-5.43
Tropics,04-28-1995,-7.94
World,04-28-1995,-12.95
Yellow Sea,04-28-1995,-75.51
Adriatic Sea,04-30-1995,-55.91
Andaman Sea,05-17-1995,104.56
Baltic Sea,05-17-1995,-66.75
Bay Bengal,05-17-1995,34.57
Indian Ocean,05-17-1995,-7.93
Mediterranean,05-17-1995,-66.08
North Sea,05-17-1995,-72.69
Sea Japan,05-17-1995,-41.35
Sea Okhotsk,05-17-1995,-16.19
South China,05-17-1995,-79
Arabian Sea,05-18-1995,61.14
Atlantic Ocean,05-18-1995,-10.31
Bering Sea,05-18-1995,-8.35
Caribbean Sea,05-18-1995,-13.18
Gulf Mexico,05-18-1995,-9.55
Indonesian,05-18-1995,-36.19
Nino,05-18-1995,-22.13
North Atlantic,05-18-1995,-32.73
North Pacific,05-18-1995,-44.71
Pacific Ocean,05-18-1995,-25.08
Persian Gulf,05-18-1995,-104.07
Southern Ocean,05-18-1995,-9.03
Tropics,05-18-1995,-14.54
World,05-18-1995,-17.75
Yellow Sea,05-18-1995,-27.71
Adriatic Sea,05-19-1995,-57.41
Baltic Sea,05-26-1995,7.25
Andaman Sea,05-27-1995,78.16
Arabian Sea,05-27-1995,56.44
Bay Bengal,05-27-1995,40.67
Indian Ocean,05-27-1995,-12.23
Indonesian,05-27-1995,-53.19
Mediterranean,05-27-1995,-66.28
North Sea,05-27-1995,-54.99
Pacific Ocean,05-27-1995,-16.18
Persian Gulf,05-27-1995,-46.67
Sea Japan,05-27-1995,-40.75
Sea Okhotsk,05-27-1995,-4.39
South China,05-27-1995,-81.3
Southern Ocean,05-27-1995,-6.03
Adriatic Sea,05-28-1995,-88.11
Atlantic Ocean,05-28-1995,-12.71
Bering Sea,05-28-1995,-12.05
Caribbean Sea,05-28-1995,-13.18
Gulf Mexico,05-28-1995,-17.45
Nino,05-28-1995,-19.43
North Atlantic,05-28-1995,-30.43
North Pacific,05-28-1995,-35.51
Tropics,05-28-1995,-13.24
World,05-28-1995,-14.65
Yellow Sea,05-28-1995,-37.01
Andaman Sea,06-06-1995,112.06
Arabian Sea,06-06-1995,67.34
Atlantic Ocean,06-06-1995,-18.11
Baltic Sea,06-06-1995,-79.35
Bay Bengal,06-06-1995,56.97
Gulf Mexico,06-06-1995,0.25
Indian Ocean,06-06-1995,21.57
Indonesian,06-06-1995,-61.79
Mediterranean,06-06-1995,-62.08
Nino,06-06-1995,-12.93
North Pacific,06-06-1995,-36.21
North Sea,06-06-1995,-115.69
Pacific Ocean,06-06-1995,-14.28
Persian Gulf,06-06-1995,-95.67
Sea Japan,06-06-1995,-72.65
Sea Okhotsk,06-06-1995,-27.99
South China,06-06-1995,-77.6
Southern Ocean,06-06-1995,3.37
Tropics,06-06-1995,-8.24
World,06-06-1995,-9.15
Bering Sea,06-07-1995,-0.75
Caribbean Sea,06-07-1995,-5.68
North Atlantic,06-07-1995,-36.03
Yellow Sea,06-07-1995,-58.11
Adriatic Sea,06-08-1995,-56.21
Persian Gulf,06-15-1995,-13.07
Andaman Sea,06-16-1995,77.46
Arabian Sea,06-16-1995,45.54
Atlantic Ocean,06-16-1995,-18.21
Baltic Sea,06-16-1995,-129.55
Bay Bengal,06-16-1995,42.67
Bering Sea,06-16-1995,18.55
Gulf Mexico,06-16-1995,-22.15
Indian Ocean,06-16-1995,0.37
Indonesian,06-16-1995,-77.79
Mediterranean,06-16-1995,-15.38
Nino,06-16-1995,-14.13
North Pacific,06-16-1995,-23.21
North Sea,06-16-1995,-43.49
Pacific Ocean,06-16-1995,-12.98
Sea Japan,06-16-1995,-58.45
Sea Okhotsk,06-16-1995,3.91
South China,06-16-1995,-76.8
Southern Ocean,06-16-1995,-11.23
Tropics,06-16-1995,-9.74
World,06-16-1995,-12.25
Adriatic Sea,06-17-1995,-34.91
Caribbean Sea,06-17-1995,0.52
North Atlantic,06-17-1995,-32.83
Yellow Sea,06-17-1995,-19.61
Baltic Sea,06-25-1995,-7.95
Andaman Sea,06-26-1995,106.46
Arabian Sea,06-26-1995,19.14
Atlantic Ocean,06-26-1995,-25.61
Bay Bengal,06-26-1995,33.37
Bering Sea,06-26-1995,28.95
Caribbean Sea,06-26-1995,1.82
Gulf Mexico,06-26-1995,-3.15
Indian Ocean,06-26-1995,-19.03
Indonesian,06-26-1995,-101.39
Mediterranean,06-26-1995,-30.88
Nino,06-26-1995,-21.33
North Atlantic,06-26-1995,-38.43
North Pacific,06-26-1995,-26.11
North Sea,06-26-1995,-2.49
Pacific Ocean,06-26-1995,-11.98
Persian Gulf,06-26-1995,-79.27
Sea Japan,06-26-1995,-37.05
Sea Okhotsk,06-26-1995,0.91
South China,06-26-1995,-89
Southern Ocean,06-26-1995,-16.83
Tropics,06-26-1995,-15.94
World,06-26-1995,-17.55
Adriatic Sea,06-27-1995,-40.31
Yellow Sea,06-27-1995,-37.51
Baltic Sea,07-15-1995,-38.55
Andaman Sea,07-16-1995,125.76
Arabian Sea,07-16-1995,-8.56
Atlantic Ocean,07-16-1995,-19.81
Bay Bengal,07-16-1995,37.37
Bering Sea,07-16-1995,19.05
Caribbean Sea,07-16-1995,10.42
Gulf Mexico,07-16-1995,12.75
Indian Ocean,07-16-1995,-29.43
Indonesian,07-16-1995,-77.49
Mediterranean,07-16-1995,-13.58
Nino,07-16-1995,-22.63
North Atlantic,07-16-1995,-5.93
North Pacific,07-16-1995,-16.31
North Sea,07-16-1995,-33.89
Pacific Ocean,07-16-1995,-17.18
Persian Gulf,07-16-1995,-50.97
Sea Japan,07-16-1995,-30.55
Sea Okhotsk,07-16-1995,3.81
South China,07-16-1995,-67.9
Southern Ocean,07-16-1995,-30.93
Tropics,07-16-1995,-18.24
World,07-16-1995,-20.45
Adriatic Sea,07-17-1995,-33.41
Yellow Sea,07-17-1995,-19.91
Baltic Sea,07-24-1995,56.85
Andaman Sea,07-25-1995,61.66
North Sea,07-25-1995,-18.69
Arabian Sea,07-26-1995,-1.66
Atlantic Ocean,07-26-1995,-24.31
Bay Bengal,07-26-1995,53.87
Bering Sea,07-26-1995,15.15
Caribbean Sea,07-26-1995,2.32
Gulf Mexico,07-26-1995,16.75
Indian Ocean,07-26-1995,-13.73
Indonesian,07-26-1995,-97.89
Mediterranean,07-26-1995,-14.98
Nino,07-26-1995,-17.43
North Atlantic,07-26-1995,-2.13
North Pacific,07-26-1995,-4.71
Pacific Ocean,07-26-1995,-10.98
Persian Gulf,07-26-1995,139.33
Sea Japan,07-26-1995,7.55
Sea Okhotsk,07-26-1995,-9.59
South China,07-26-1995,-70.7
Southern Ocean,07-26-1995,-29.33
Tropics,07-26-1995,-12.64
World,07-26-1995,-15.35
Yellow Sea,07-26-1995,18.19
Adriatic Sea,07-28-1995,-14.61
Baltic Sea,08-04-1995,-29.45
North Sea,08-04-1995,-17.69
Sea Okhotsk,08-04-1995,-32.99
Andaman Sea,08-05-1995,97.26
Arabian Sea,08-05-1995,-13.76
Atlantic Ocean,08-05-1995,-16.81
Bay Bengal,08-05-1995,36.87
Bering Sea,08-05-1995,-3.45
Caribbean Sea,08-05-1995,0.22
Gulf Mexico,08-05-1995,51.75
Indian Ocean,08-05-1995,-13.73
Indonesian,08-05-1995,-122.99
Mediterranean,08-05-1995,-1.88
Nino,08-05-1995,-16.93
North Atlantic,08-05-1995,11.97
North Pacific,08-05-1995,-2.51
Pacific Ocean,08-05-1995,-4.98
Persian Gulf,08-05-1995,9.03
Sea Japan,08-05-1995,-24.45
South China,08-05-1995,-58.3
Southern Ocean,08-05-1995,-23.93
Tropics,08-05-1995,-9.04
World,08-05-1995,-11.45
Yellow Sea,08-05-1995,7.79
Adriatic Sea,08-06-1995,-23.51
Andaman Sea,08-14-1995,35.66
Baltic Sea,08-14-1995,-16.35
Mediterranean,08-14-1995,2.92
North Sea,08-14-1995,9.91
Persian Gulf,08-14-1995,28.53
Sea Okhotsk,08-14-1995,-13.19
Arabian Sea,08-15-1995,-18.06
Atlantic Ocean,08-15-1995,4.19
Bay Bengal,08-15-1995,46.37
Bering Sea,08-15-1995,39.45
Caribbean Sea,08-15-1995,22.22
Gulf Mexico,08-15-1995,51.75
Indian Ocean,08-15-1995,-23.33
Indonesian,08-15-1995,-123.39
Nino,08-15-1995,-11.63
North Atlantic,08-15-1995,46.47
North Pacific,08-15-1995,15.79
Pacific Ocean,08-15-1995,-4.68
Sea Japan,08-15-1995,-30.35
South China,08-15-1995,-45.5
Southern Ocean,08-15-1995,-31.33
Tropics,08-15-1995,-3.74
World,08-15-1995,-7.15
Yellow Sea,08-15-1995,2.79
Adriatic Sea,08-16-1995,-44.31
Andaman Sea,08-24-1995,10.76
Baltic Sea,08-24-1995,-78.05
Bay Bengal,08-24-1995,36.07
Mediterranean,08-24-1995,13.42
North Sea,08-24-1995,59.21
Sea Japan,08-24-1995,13.55
Sea Okhotsk,08-24-1995,3.31
South China,08-24-1995,-43.4
Arabian Sea,08-25-1995,-14.56
Atlantic Ocean,08-25-1995,-4.11
Bering Sea,08-25-1995,33.55
Caribbean Sea,08-25-1995,20.52
Gulf Mexico,08-25-1995,64.95
Indian Ocean,08-25-1995,-32.23
Indonesian,08-25-1995,-116.59
Nino,08-25-1995,-21.83
North Atlantic,08-25-1995,44.17
North Pacific,08-25-1995,20.29
Pacific Ocean,08-25-1995,-5.78
Persian Gulf,08-25-1995,-11.27
Southern Ocean,08-25-1995,-34.43
Tropics,08-25-1995,-9.94
World,08-25-1995,-10.75
Yellow Sea,08-25-1995,44.89
Adriatic Sea,08-26-1995,-5.41
Baltic Sea,09-02-1995,-35.75
Andaman Sea,09-03-1995,20.06
Bay Bengal,09-03-1995,2.77
Indonesian,09-03-1995,-78.89
Mediterranean,09-03-1995,33.32
Nino,09-03-1995,-25.83
North Sea,09-03-1995,-29.69
Pacific Ocean,09-03-1995,-7.88
Sea Okhotsk,09-03-1995,7.51
South China,09-03-1995,-69.4
Southern Ocean,09-03-1995,-31.53
Adriatic Sea,09-04-1995,-11.01
Arabian Sea,09-04-1995,-29.56
Atlantic Ocean,09-04-1995,-5.11
Bering Sea,09-04-1995,36.05
Caribbean Sea,09-04-1995,5.12
Gulf Mexico,09-04-1995,53.95
Indian Ocean,09-04-1995,-19.73
North Atlantic,09-04-1995,43.37
North Pacific,09-04-1995,31.39
Persian Gulf,09-04-1995,-50.87
Sea Japan,09-04-1995,-33.15
Tropics,09-04-1995,-12.44
World,09-04-1995,-10.55
Yellow Sea,09-04-1995,7.99
Baltic Sea,09-12-1995,-125.25
Andaman Sea,09-13-1995,5.36
Bay Bengal,09-13-1995,-2.23
Gulf Mexico,09-13-1995,61.55
Indian Ocean,09-13-1995,-23.23
Indonesian,09-13-1995,-75.69
Mediterranean,09-13-1995,66.12
Nino,09-13-1995,-13.93
North Pacific,09-13-1995,49.39
North Sea,09-13-1995,-33.99
Pacific Ocean,09-13-1995,-0.48
Persian Gulf,09-13-1995,-12.07
Sea Japan,09-13-1995,-29.55
Sea Okhotsk,09-13-1995,11.41
South China,09-13-1995,-31.9
Southern Ocean,09-13-1995,-32.73
Tropics,09-13-1995,-7.64
World,09-13-1995,-6.25
Adriatic Sea,09-14-1995,14.69
Arabian Sea,09-14-1995,-47.06
Atlantic Ocean,09-14-1995,-4.21
Bering Sea,09-14-1995,45.45
Caribbean Sea,09-14-1995,12.52
North Atlantic,09-14-1995,48.67
Yellow Sea,09-14-1995,68.29
Baltic Sea,09-22-1995,-258.15
Andaman Sea,09-23-1995,2.46
Arabian Sea,09-23-1995,-27.76
Bay Bengal,09-23-1995,-4.43
Bering Sea,09-23-1995,61.95
Indian Ocean,09-23-1995,-5.33
Indonesian,09-23-1995,-47.39
Mediterranean,09-23-1995,43.82
Nino,09-23-1995,-1.23
North Sea,09-23-1995,71.31
Pacific Ocean,09-23-1995,0.52
Persian Gulf,09-23-1995,-23.27
Sea Japan,09-23-1995,68.25
Sea Okhotsk,09-23-1995,18.51
South China,09-23-1995,24.3
Southern Ocean,09-23-1995,-24.63
Tropics,09-23-1995,2.36
World,09-23-1995,2.15
Adriatic Sea,09-24-1995,10.29
Atlantic Ocean,09-24-1995,7.79
Caribbean Sea,09-24-1995,30.62
Gulf Mexico,09-24-1995,66.85
North Atlantic,09-24-1995,57.97
North Pacific,09-24-1995,54.89
Yellow Sea,09-24-1995,107.99
Baltic Sea,10-02-1995,18.85
Andaman Sea,10-03-1995,26.76
Arabian Sea,10-03-1995,-47.96
Atlantic Ocean,10-03-1995,17.49
Bay Bengal,10-03-1995,-12.33
Bering Sea,10-03-1995,19.95
Gulf Mexico,10-03-1995,104.15
Indian Ocean,10-03-1995,-18.23
Indonesian,10-03-1995,-38.59
Mediterranean,10-03-1995,41.72
Nino,10-03-1995,-2.23
North Pacific,10-03-1995,55.59
North Sea,10-03-1995,72.11
Pacific Ocean,10-03-1995,-3.48
Persian Gulf,10-03-1995,4.83
Sea Japan,10-03-1995,77.55
Sea Okhotsk,10-03-1995,26.31
South China,10-03-1995,-8.2
Southern Ocean,10-03-1995,-30.03
Tropics,10-03-1995,-0.24
World,10-03-1995,0.15
Adriatic Sea,10-04-1995,-17.11
Caribbean Sea,10-04-1995,31.92
North Atlantic,10-04-1995,66.77
Yellow Sea,10-04-1995,60.99
Baltic Sea,10-12-1995,124.15
Andaman Sea,10-13-1995,52.96
Arabian Sea,10-13-1995,-35.66
Atlantic Ocean,10-13-1995,10.69
Bay Bengal,10-13-1995,-11.53
Bering Sea,10-13-1995,-4.25
Gulf Mexico,10-13-1995,77.85
Indian Ocean,10-13-1995,-24.93
Indonesian,10-13-1995,-33.49
Mediterranean,10-13-1995,38.22
Nino,10-13-1995,-2.03
North Atlantic,10-13-1995,64.87
North Pacific,10-13-1995,61.79
North Sea,10-13-1995,120.61
Pacific Ocean,10-13-1995,-0.68
Persian Gulf,10-13-1995,-9.97
Sea Japan,10-13-1995,72.25
Sea Okhotsk,10-13-1995,-1.29
South China,10-13-1995,6.7
Southern Ocean,10-13-1995,-32.73
Tropics,10-13-1995,-1.84
World,10-13-1995,-0.85
Adriatic Sea,10-14-1995,-10.21
Caribbean Sea,10-14-1995,23.32
Yellow Sea,10-14-1995,56.69
Baltic Sea,11-01-1995,195.65
Andaman Sea,11-02-1995,40.26
Arabian Sea,11-02-1995,-36.16
Atlantic Ocean,11-02-1995,3.39
Bay Bengal,11-02-1995,8.57
Bering Sea,11-02-1995,34.85
Caribbean Sea,11-02-1995,7.02
Gulf Mexico,11-02-1995,53.85
Indian Ocean,11-02-1995,-13.03
Indonesian,11-02-1995,-5.09
Mediterranean,11-02-1995,63.82
Nino,11-02-1995,-4.93
North Atlantic,11-02-1995,39.37
North Pacific,11-02-1995,27.59
North Sea,11-02-1995,181.91
Pacific Ocean,11-02-1995,-10.58
Persian Gulf,11-02-1995,40.63
Sea Japan,11-02-1995,-55.55
Sea Okhotsk,11-02-1995,32.61
South China,11-02-1995,55.8
Southern Ocean,11-02-1995,-22.83
Tropics,11-02-1995,-8.04
World,11-02-1995,-5.15
Yellow Sea,11-02-1995,-85.41
Adriatic Sea,11-03-1995,-1.71
Baltic Sea,11-11-1995,107.15
North Sea,11-11-1995,61.01
Andaman Sea,11-12-1995,112.96
Arabian Sea,11-12-1995,-53.16
Atlantic Ocean,11-12-1995,8.59
Bay Bengal,11-12-1995,-2.23
Bering Sea,11-12-1995,26.95
Caribbean Sea,11-12-1995,9.82
Gulf Mexico,11-12-1995,41.55
Indian Ocean,11-12-1995,-18.03
Indonesian,11-12-1995,23.01
Mediterranean,11-12-1995,84.22
Nino,11-12-1995,-1.13
North Atlantic,11-12-1995,40.07
North Pacific,11-12-1995,21.09
Pacific Ocean,11-12-1995,-9.88
Persian Gulf,11-12-1995,37.23
Sea Japan,11-12-1995,-87.05
Sea Okhotsk,11-12-1995,6.01
South China,11-12-1995,31.5
Southern Ocean,11-12-1995,-25.13
Tropics,11-12-1995,-5.14
World,11-12-1995,-4.85
Yellow Sea,11-12-1995,-83.31
Adriatic Sea,11-13-1995,34.19
Arabian Sea,11-21-1995,-45.76
Atlantic Ocean,11-21-1995,9.29
Baltic Sea,11-21-1995,66.65
Bay Bengal,11-21-1995,0.17
Bering Sea,11-21-1995,35.85
Indian Ocean,11-21-1995,-28.03
Mediterranean,11-21-1995,105.82
Nino,11-21-1995,1.77
North Pacific,11-21-1995,33.49
North Sea,11-21-1995,46.51
Pacific Ocean,11-21-1995,-3.08
Sea Okhotsk,11-21-1995,33.21
Southern Ocean,11-21-1995,-25.63
Tropics,11-21-1995,0.46
World,11-21-1995,-1.45
Adriatic Sea,11-22-1995,57.99
Andaman Sea,11-22-1995,197.26
Caribbean Sea,11-22-1995,19.22
Gulf Mexico,11-22-1995,17.85
Indonesian,11-22-1995,53.11
North Atlantic,11-22-1995,36.27
Persian Gulf,11-22-1995,20.23
Sea Japan,11-22-1995,20.35
South China,11-22-1995,72.4
Yellow Sea,11-22-1995,-34.01
Andaman Sea,12-11-1995,78.46
Baltic Sea,12-11-1995,-90.85
Bay Bengal,12-11-1995,6.57
Mediterranean,12-11-1995,46.22
North Sea,12-11-1995,62.11
Sea Japan,12-11-1995,61.15
Sea Okhotsk,12-11-1995,53.11
Arabian Sea,12-12-1995,-31.96
Atlantic Ocean,12-12-1995,15.69
Bering Sea,12-12-1995,86.45
Caribbean Sea,12-12-1995,8.82
Gulf Mexico,12-12-1995,1.35
Indian Ocean,12-12-1995,-19.23
Indonesian,12-12-1995,114.21
Nino,12-12-1995,-1.23
North Atlantic,12-12-1995,24.17
North Pacific,12-12-1995,2.79
Pacific Ocean,12-12-1995,-11.38
Persian Gulf,12-12-1995,175.33
South China,12-12-1995,81.6
Southern Ocean,12-12-1995,-9.63
Tropics,12-12-1995,-0.74
World,12-12-1995,-1.15
Yellow Sea,12-12-1995,24.29
Adriatic Sea,12-15-1995,74.29
Andaman Sea,12-21-1995,-16.34
Baltic Sea,12-21-1995,-250.45
Bay Bengal,12-21-1995,11.27
Gulf Mexico,12-21-1995,-31.65
Indian Ocean,12-21-1995,-0.93
Indonesian,12-21-1995,95.31
Mediterranean,12-21-1995,73.22
North Pacific,12-21-1995,-13.51
North Sea,12-21-1995,4.21
Persian Gulf,12-21-1995,54.63
Sea Japan,12-21-1995,23.25
Sea Okhotsk,12-21-1995,8.11
South China,12-21-1995,55
Southern Ocean,12-21-1995,-6.93
Arabian Sea,12-22-1995,-1.36
Atlantic Ocean,12-22-1995,7.99
Bering Sea,12-22-1995,32.15
Caribbean Sea,12-22-1995,-14.58
Nino,12-22-1995,0.47
North Atlantic,12-22-1995,3.87
Pacific Ocean,12-22-1995,-14.28
Tropics,12-22-1995,-1.44
World,12-22-1995,-3.15
Yellow Sea,12-22-1995,-15.01
Adriatic Sea,12-23-1995,125.69
Baltic Sea,12-29-1995,-126.55
Mediterranean,12-30-1995,129.72
North Sea,12-30-1995,9.01
Persian Gulf,12-30-1995,113.03
Adriatic Sea,12-31-1995,147.19
Andaman Sea,12-31-1995,-17.24
Arabian Sea,12-31-1995,15.44
Bay Bengal,12-31-1995,10.87
Caribbean Sea,12-31-1995,-39.58
Gulf Mexico,12-31-1995,-55.35
Indonesian,12-31-1995,67.31
Nino,12-31-1995,-0.53
North Pacific,12-31-1995,-31.91
Pacific Ocean,12-31-1995,-20.78
Sea Japan,12-31-1995,-30.35
Sea Okhotsk,12-31-1995,42.91
South China,12-31-1995,62.5
Southern Ocean,12-31-1995,-9.03
Tropics,12-31-1995,-9.04
World,12-31-1995,-10.05
Atlantic Ocean,01-01-1996,-10.31
Bering Sea,01-01-1996,72.95
Indian Ocean,01-01-1996,1.67
North Atlantic,01-01-1996,-20.63
Yellow Sea,01-01-1996,-64.51
Andaman Sea,01-10-1996,-92.54
Arabian Sea,01-10-1996,3.64
Baltic Sea,01-10-1996,-187.45
Bay Bengal,01-10-1996,1.87
Bering Sea,01-10-1996,51.45
Gulf Mexico,01-10-1996,-70.65
Indian Ocean,01-10-1996,4.17
Indonesian,01-10-1996,66.81
Mediterranean,01-10-1996,114.82
Nino,01-10-1996,-8.03
North Pacific,01-10-1996,-43.61
North Sea,01-10-1996,-11.09
Pacific Ocean,01-10-1996,-24.88
Persian Gulf,01-10-1996,67.23
Sea Japan,01-10-1996,-36.55
Sea Okhotsk,01-10-1996,55.01
South China,01-10-1996,-2.6
Southern Ocean,01-10-1996,-6.33
Tropics,01-10-1996,-14.14
World,01-10-1996,-13.05
Atlantic Ocean,01-11-1996,-10.71
Caribbean Sea,01-11-1996,-36.48
North Atlantic,01-11-1996,-23.73
Yellow Sea,01-12-1996,-73.11
Adriatic Sea,01-13-1996,109.79
Baltic Sea,01-18-1996,-133.45
Persian Gulf,01-18-1996,12.03
Andaman Sea,01-19-1996,-81.44
North Sea,01-19-1996,-23.79
Sea Okhotsk,01-19-1996,3.01
Arabian Sea,01-20-1996,-5.36
Atlantic Ocean,01-20-1996,-15.81
Bay Bengal,01-20-1996,-4.03
Bering Sea,01-20-1996,51.15
Caribbean Sea,01-20-1996,-26.48
Gulf Mexico,01-20-1996,-40.95
Indian Ocean,01-20-1996,-3.33
Indonesian,01-20-1996,56.81
Mediterranean,01-20-1996,-15.18
Nino,01-20-1996,-8.33
North Atlantic,01-20-1996,-31.03
North Pacific,01-20-1996,-27.81
Pacific Ocean,01-20-1996,-14.08
Sea Japan,01-20-1996,-27.55
South China,01-20-1996,-6.9
Southern Ocean,01-20-1996,-2.03
Tropics,01-20-1996,-13.44
World,01-20-1996,-11.55
Adriatic Sea,01-21-1996,-7.31
Yellow Sea,01-21-1996,-47.81
Baltic Sea,01-29-1996,-309.95
Andaman Sea,01-30-1996,-132.34
Arabian Sea,01-30-1996,-4.46
Atlantic Ocean,01-30-1996,-6.51
Bay Bengal,01-30-1996,-20.03
Bering Sea,01-30-1996,41.75
Caribbean Sea,01-30-1996,-29.28
Gulf Mexico,01-30-1996,-43.55
Indian Ocean,01-30-1996,-9.23
Indonesian,01-30-1996,60.11
Mediterranean,01-30-1996,37.92
Nino,01-30-1996,-8.93
North Atlantic,01-30-1996,-36.83
North Pacific,01-30-1996,-43.61
North Sea,01-30-1996,-48.89
Pacific Ocean,01-30-1996,-7.98
Persian Gulf,01-30-1996,-19.77
Sea Japan,01-30-1996,-65.85
Sea Okhotsk,01-30-1996,5.81
South China,01-30-1996,33.2
Southern Ocean,01-30-1996,10.17
Tropics,01-30-1996,-10.84
World,01-30-1996,-7.25
Adriatic Sea,01-31-1996,55.19
Yellow Sea,01-31-1996,-84.61
Baltic Sea,02-08-1996,-334.65
Andaman Sea,02-09-1996,-129.24
Arabian Sea,02-09-1996,17.94
Atlantic Ocean,02-09-1996,-10.91
Bay Bengal,02-09-1996,-28.43
Bering Sea,02-09-1996,43.35
Gulf Mexico,02-09-1996,-78.05
Indian Ocean,02-09-1996,11.47
Indonesian,02-09-1996,56.81
Mediterranean,02-09-1996,-11.08
Nino,02-09-1996,-4.83
North Atlantic,02-09-1996,-42.63
North Pacific,02-09-1996,-63.01
North Sea,02-09-1996,-195.09
Pacific Ocean,02-09-1996,-4.48
Persian Gulf,02-09-1996,30.83
Sea Japan,02-09-1996,-93.85
Sea Okhotsk,02-09-1996,40.11
South China,02-09-1996,23.6
Southern Ocean,02-09-1996,21.27
Tropics,02-09-1996,-5.14
World,02-09-1996,-4.05
